"S.No","RMSE","std. RMSE","Meaning_Error","std. Meaning Error","Sentence_Error","std. Sentence Error","leak_rate","spectral_radius","input_scaling"
883,0.528357921,0.0199954667,0.0819746377,0.0297709754,0.2217391304,0.0493818117,0.15,1.8,2.2
550,0.5184860214,0.0174655634,0.0817028986,0.0180515159,0.2217391304,0.0361157559,0.09,2,3
461,0.5115718821,0.0143808835,0.08125,0.0196123376,0.2217391304,0.0374014142,0.07,2.3,2.9
454,0.5097325268,0.0121166351,0.0807971014,0.0142576032,0.2217391304,0.02341376,0.07,2.3,2.2
506,0.5172213724,0.0161959679,0.0805253623,0.0224025068,0.2217391304,0.0493818117,0.09,1.6,3
885,0.5304673407,0.0205226622,0.0805253623,0.0256756333,0.2217391304,0.045392637,0.15,1.8,2.4
526,0.5150096409,0.0151460599,0.0804347826,0.0247360568,0.2217391304,0.0386443236,0.09,1.8,2.8
886,0.5314102291,0.0208502116,0.0804347826,0.0244558508,0.2217391304,0.0410173093,0.15,1.8,2.5
614,0.5207048833,0.0170100391,0.0802536232,0.0193391393,0.2217391304,0.0432603234,0.11,1.5,2.8
641,0.5165787492,0.0138335392,0.0800724638,0.0147018432,0.2217391304,0.0386443236,0.11,1.8,2.2
515,0.5149914367,0.0150743504,0.0799818841,0.0251186862,0.2217391304,0.0432603234,0.09,1.7,2.8
436,0.5096935814,0.0129592417,0.0795289855,0.0208679611,0.2217391304,0.0421537379,0.07,2.1,2.6
639,0.5153740895,0.0123604871,0.0793478261,0.0125719939,0.2217391304,0.0361157559,0.11,1.8,2
531,0.5127885981,0.012162659,0.0792572464,0.01394604,0.2217391304,0.0333962859,0.09,1.9,2.2
465,0.5098690621,0.0122045555,0.0789855072,0.0132741776,0.2217391304,0.0319498662,0.07,2.4,2.2
731,0.5213869379,0.0159214706,0.0789855072,0.0162428389,0.2217391304,0.0253519648,0.13,1.5,2.4
650,0.5167561586,0.0135013805,0.0787137681,0.0138409235,0.2217391304,0.0333962859,0.11,1.9,2
528,0.5165330703,0.0167862258,0.0786231884,0.0260006372,0.2217391304,0.0464220794,0.09,1.8,3
738,0.5183855753,0.0130017352,0.0775362319,0.0154315503,0.2217391304,0.0333962859,0.13,1.6,2
451,0.5113456985,0.0145426561,0.0769927536,0.0215838354,0.2217391304,0.0347826087,0.07,2.2,3
753,0.5239969928,0.0178451164,0.0758152174,0.0176435232,0.2217391304,0.0304347826,0.13,1.7,2.4
873,0.5305939853,0.0202727229,0.0836956522,0.0243091372,0.2239130435,0.0486587593,0.15,1.7,2.3
